,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
18659,18730,Text,2006-07-01,Lore of Proserpine,en,"Hewlett, Maurice, 1861-1923",Fantasy literature; Short stories; Supernatural -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/3/18730/18730.txt
18672,18743,Text,2006-07-03,Krindlesyke,en,"Gibson, Wilfrid Wilson, 1878-1962",Drama,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/4/18743/18743.txt
18679,18750,Text,2006-07-03,Wandering Heath,en,"Quiller-Couch, Arthur, 1863-1944",Short stories; Cornwall (England : County) -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/5/18750/18750.txt
18687,18758,Text,2006-07-04,By Berwen Banks,en,"Raine, Allen, 1836-1908",Wales -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/5/18758/18758.txt
18691,18762,Text,2006-07-06,The Works of Lord Byron. Vol. 6,en,"Byron, George Gordon Byron, Baron, 1788-1824; Coleridge, Ernest Hartley, 1846-1920 [Editor]",English poetry,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/6/18762/18762.txt
18695,18766,Text,2006-07-06,Early Reviews of English Poets,en,"Haney, John Louis, 1877-1960",English poetry -- Book reviews,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/6/18766/18766.txt
18707,18778,Text,2006-07-07,Garthowen: A Story of a Welsh Homestead,en,"Raine, Allen, 1836-1908",Wales -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/7/18778/18778.txt
18709,18780,Text,2006-07-07,Shakespeare and the Modern Stage; with Other Essays,en,"Lee, Sidney, Sir, 1859-1926","Shakespeare, William, 1564-1616; Shakespeare, William, 1564-1616 -- Stage history",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/8/18780/18780.txt
18710,18781,Text,2006-07-07,Hero and Leander,en,"Marlowe, Christopher, 1564-1593",Leander (Greek mythology) -- Poetry; Hero (Greek mythology) -- Poetry,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/8/18781/18781-0.txt
18711,18782,Text,2006-07-08,"Studies in Song, A Century of Roundels, Sonnets on English Dramatic Poets, The Heptalogia, Etc.
From Swinburne's Poems Volume V.",en,"Swinburne, Algernon Charles, 1837-1909",English poetry,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/8/18782/18782.txt
18717,18788,Text,2006-07-08,Post-Prandial Philosophy,en,"Allen, Grant, 1848-1899",Essays,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/8/18788/18788.txt
18718,18789,Text,2006-07-08,Swirling Waters,en,"Rittenberg, Max, 1880-1965",London (England) -- Fiction; Capitalists and financiers -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/8/18789/18789.txt
18728,18799,Text,2006-07-10,The Growth of English Drama,en,"Wynne, Arnold, 1880-","English drama -- Early modern and Elizabethan, 1500-1600 -- History and criticism; English drama -- To 1500 -- History and criticism",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/7/9/18799/18799.txt
18733,18804,Text,2006-07-10,"Prose Masterpieces from Modern Essayists, Volume 3 of 3",en,"Freeman, Edward A. (Edward Augustus), 1823-1892 [Contributor]; Froude, James Anthony, 1818-1894 [Contributor]; Gladstone, W. E. (William Ewart), 1809-1898 [Contributor]; Newman, John Henry, 1801-1890 [Contributor]; Stephen, Leslie, 1832-1904 [Contributor]",English essays -- 19th century,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/0/18804/18804.txt
18738,18809,Text,2006-07-12,"Recollections of the late William Beckford
of Fonthill, Wilts and Lansdown, Bath",en,"Lansdown, Henry Venn; Lansdown, Charlotte [Editor]","Authors, English -- 18th century -- Biography; Beckford, William, 1760-1844; Beckford, William, 1760-1844 -- Homes and haunts -- England -- Wiltshire; Authors, English -- Homes and haunts -- England -- Wiltshire; Eccentrics and eccentricities -- Great Britain -- Biography; Art -- Collectors and collecting -- Great Britain -- Biography; Travelers -- Great Britain -- Biography; Wiltshire (England) -- Intellectual life; Bath (England) -- Intellectual life; Wiltshire (England) -- Biography; Bath (England) -- Biography",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/0/18809/18809.txt
18739,18810,Text,2006-07-12,Alec Forbes of Howglen,en,"MacDonald, George, 1824-1905",Scotland -- Fiction; Christian fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/1/18810/18810.txt
18744,18815,Text,2006-07-13,The Mark of the Beast,en,"Watson, Sydney, 1847?-1917",Christian fiction; Second Advent -- Fiction; Tribulation (Christian eschatology) -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/1/18815/18815.txt
18756,18827,Text,2006-07-14,"The Poetical Works of Edward Young, Volume 2",en,"Young, Edward, 1683-1765",English poetry,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/2/18827/18827.txt
18763,18834,Text,2006-07-16,Prisoners: Fast Bound In Misery And Iron,en,"Cholmondeley, Mary, 1859-1925",Man-woman relationships -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/3/18834/18834.txt
18770,18841,Text,2006-07-16,Elizabethan Sonnet Cycles: Phillis - Licia,en,"Fletcher, Giles, 1549?-1611; Lodge, Thomas, 1558?-1625; Crow, Martha Foote, 1854-1924 [Editor]","English poetry -- Early modern, 1500-1700; Sonnets, English",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/4/18841/18841.txt
18771,18842,Text,2006-07-16,Elizabethan Sonnet-Cycles: Delia - Diana,en,"Constable, Henry, 1562-1613; Daniel, Samuel, 1562-1619; Crow, Martha Foote, 1854-1924 [Editor]","English poetry -- Early modern, 1500-1700; Sonnets, English",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/4/18842/18842.txt
18780,18851,Text,2006-07-17,Gibbon,en,"Morison, James Cotter, 1832-1888","Great Britain -- Intellectual life -- 18th century; Historians -- Great Britain -- Biography; Gibbon, Edward, 1737-1794; Gibbon, Edward, 1737-1794. History of the decline and fall of the Roman empire; Scholars -- Great Britain -- Biography; Rome -- History -- Empire, 30 B.C.-476 A.D. -- Historiography",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/5/18851/18851.txt
18791,18862,Text,2006-07-18,"The Uncollected Writings of Thomas de Quincey—Vol. 1
With a Preface and Annotations by James Hogg",en,"De Quincey, Thomas, 1785-1859; Hogg, James, 1830-1910 [Editor]",English literature,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/6/18862/18862.txt
18792,18863,Text,2006-07-18,The Loom of Youth,en,"Waugh, Alec, 1898-1981",Boarding schools -- England -- Fiction,PR,Banned Books from Anne Haight's list,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/6/18863/18863.txt
18800,18871,Text,2006-07-19,"A Channel Passage and Other Poems
Taken from The Collected Poetical Works of Algernon Charles
Swinburne—Vol VI",en,"Swinburne, Algernon Charles, 1837-1909",English poetry,PR,Poetry,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/7/18871/18871.txt
18811,18882,Text,2006-07-21,The Isles of Sunset,en,"Benson, Arthur Christopher, 1862-1925","Short stories, English; English fiction -- 20th century",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/8/18882/18882.txt
18812,18883,Text,2006-07-21,The Four Feathers,en,"Mason, A. E. W. (Alfred Edward Woodley), 1865-1948",War stories; Love stories; Male friendship -- Fiction; Soldiers -- Fiction; Adventure stories; Cowardice -- Fiction; British -- Sudan -- Fiction; Sudan -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/8/18883/18883.txt
18815,18886,Text,2006-07-22,Franklin Kane,en,"Sedgwick, Anne Douglas, 1873-1935",Man-woman relationships -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/8/8/18886/18886.txt
