,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
2564,2597,Text,2006-05-22,Mrs. Skagg's Husbands and Other Stories,en,"Harte, Bret, 1836-1902",Short stories; Western stories; American fiction -- 19th century,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/5/9/2597/2597.txt
2565,2598,Text,2006-05-22,Urban Sketches,en,"Harte, Bret, 1836-1902",Short stories; American fiction -- 19th century,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/5/9/2598/2598.txt
2566,2599,Text,2006-05-22,Legends and Tales,en,"Harte, Bret, 1836-1902",Short stories; American fiction -- 19th century,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/5/9/2599/2599.txt
2585,2618,Text,2001-05-01,A House-Boat on the Styx,en,"Bangs, John Kendrick, 1862-1922",Houseboats -- Fiction; Dead -- Fiction; Household employees -- Fiction,PS,"Humor; Bestsellers, American, 1895-1923",['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/1/2618/2618.txt
2598,2635,Text,2006-05-22,Clarence,en,"Harte, Bret, 1836-1902",American fiction -- 19th century; Man-woman relationships -- Fiction; California -- Fiction; Marriage -- Fiction; Mines and mineral resources -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/3/2635/2635.txt
2605,2642,Text,2001-05-01,Back Home,en,"Wood, Eugene, 1860-1923",Short stories; United States -- Social life and customs -- 19th century -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/4/2642/2642.txt
2624,2661,Text,2006-05-22,The Story of a Mine,en,"Harte, Bret, 1836-1902",American fiction -- 19th century; Mines and mineral resources -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/6/2661/2661.txt
2628,2665,Text,2004-09-27,The Professor at the Breakfast-Table,en,"Holmes, Oliver Wendell, 1809-1894",Poetry; American fiction -- 19th century; Conversation -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/6/2665/2665-0.txt
2629,2666,Text,2004-09-29,The Poet at the Breakfast-Table,en,"Holmes, Oliver Wendell, 1809-1894",Poetry; American fiction -- 19th century; Conversation -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/6/2666/2666-0.txt
2633,2670,Text,2001-06-01,Love-Songs of Childhood,en,"Field, Eugene, 1850-1895",Children's poetry,PS,Poetry,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/7/2670/2670.txt
2634,2671,Text,2001-06-01,The Complete Writings of Charles Dudley Warner — Volume 1,en,"Warner, Charles Dudley, 1829-1900",Essays; Nova Scotia -- Description and travel; Baddeck (N.S.) -- Description and travel; Gardening,SB; F1001; PS,,"['SB', 'F1001', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/7/2671/2671.txt
2635,2672,Text,2001-06-01,The Complete Writings of Charles Dudley Warner — Volume 2,en,"Warner, Charles Dudley, 1829-1900",Europe -- Description and travel,D; PS,,"['D', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/7/2672/2672.txt
2636,2673,Text,2001-06-01,The Complete Writings of Charles Dudley Warner — Volume 3,en,"Warner, Charles Dudley, 1829-1900","Biography; Pocahontas, -1617; Smith, John, 1580-1631; Spring; Adirondack Mountains (N.Y.) -- Description and travel; New England -- Climate",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/7/2673/2673.txt
